Player;Role;Team;Opponent Team;Opponent Player;Date;Round;Day;Patch;Stage;No Game;all Games;Format;Game of day;Side;Time;Ban;Ban Opponent;Pick;Pick Opponent;Champion;Champion Opponent;Outcome;Kills Team;Turrets Team;Dragon Team;Baron Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Teams Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;Solo kills;Double kills;Triple kills;Quadra kills;Penta kills;GD@15;CSD@15;XPD@15;LVLD@15;Objectives Stolen;Damage dealt to turrets;Damage dealt to buildings;Total heal;Total Heals On Teammates;Damage self mitigated;Total Damage Shielded On Teammates;Time ccing others;Total Time CC Dealt;Total damage taken;Total Time Spent Dead;Consumables purchased;Items Purchased;Shutdown bounty collected;Shutdown bounty lost
Clear;TOP;FOX;DK;kingen;23.08.2024;1;1;v14.16;Summer_Playoffs_24;3;4;5;3;Blue;00:49:41;LeBlanc;Rumble;Maokai;Smolder;Camille;Gnar;Win;14;10;4;2;18;6;3;4;3.3;476;56;0;9.6;24216;487;0.254;60;8;21;4;4;1.21;0.16;0.08;0.42;0.132;20039;11421;1168;7450;403;0.149;0.2;0.714;1;0;1;0;0;755;-24;-411;-1;0;8624;8624;18793;0;54608;0;15;731;41750;129;6;29;1200;300
Raptor;JUNGLE;FOX;DK;Lucid;23.08.2024;1;1;v14.16;Summer_Playoffs_24;3;4;5;3;Blue;00:49:41;Nasus;Vi;Corki;Lillia;Maokai;Lillia;Win;14;10;4;2;17;1;3;9;3.3;191;157;0;3.8;13661;275;0.143;88;19;23;17;17;1.77;0.38;0.34;0.46;0.193;16834;885;15765;184;339;0.125;0.2;0.714;0;0;0;0;0;-1806;-29;-1913;-2;1;696;696;27265;0;55751;302;72;728;52630;114;19;35;0;0
Clozer;MID;FOX;DK;ShowMaker;23.08.2024;1;1;v14.16;Summer_Playoffs_24;3;4;5;3;Blue;00:49:41;Ivern;Renekton;Ziggs;Rell;Corki;Zeri;Win;14;10;4;2;18;5;4;5;2.5;572;76;0;11.5;23713;477;0.248;61;19;20;7;6;1.23;0.38;0.14;0.4;0.134;33353;23775;5751;3827;671;0.247;0.2;0.714;0;0;0;0;0;614;9;62;0;0;6618;6618;14887;0;28258;0;0;123;32428;230;12;33;550;1100
Hena;ADCARRY;FOX;DK;Aiming;23.08.2024;1;1;v14.16;Summer_Playoffs_24;3;4;5;3;Blue;00:49:41;Ezreal;Leona;Alistar;Zeri;Ziggs;Smolder;Win;14;10;4;2;18;2;2;10;6;484;46;0;9.7;22760;458;0.238;59;19;8;2;2;1.19;0.38;0.04;0.16;0.129;59376;1079;57706;591;1195;0.44;0.24;0.857;0;0;0;0;0;1960;-5;353;1;0;12693;12693;3219;0;9170;0;27;548;16103;67;10;29;50;50
Duro;SUPPORT;FOX;DK;Moham;23.08.2024;1;1;v14.16;Summer_Playoffs_24;3;4;5;3;Blue;00:49:41;Gangplank;Nautilus;Camille;Gnar;Alistar;Rell;Win;14;10;4;2;16;0;5;11;2.2;21;0;0;0.4;11115;224;0.116;188;114;14;38;37;3.78;2.29;0.76;0.28;0.412;5202;536;4086;580;105;0.039;0.22;0.786;0;0;0;0;0;547;-10;46;0;0;1558;1558;10735;4637;37458;139;39;76;30266;118;41;55;0;0
kingen;TOP;DK;FOX;Clear;23.08.2024;1;1;v14.16;Summer_Playoffs_24;3;4;5;3;Red;00:49:41;Rumble;LeBlanc;Smolder;Maokai;Gnar;Camille;Loss;17;7;3;2;18;1;1;7;8;426;19;0;8.6;19243;387;0.202;53;18;15;13;13;1.07;0.36;0.26;0.3;0.12;30170;22282;5918;1970;607;0.253;0.16;0.471;0;0;0;0;0;-755;24;411;1;0;1130;1130;12029;0;56965;0;37;790;35973;0;15;40;100;100
Lucid;JUNGLE;DK;FOX;Raptor;23.08.2024;1;1;v14.16;Summer_Playoffs_24;3;4;5;3;Red;00:49:41;Vi;Nasus;Lillia;Corki;Lillia;Maokai;Loss;17;7;3;2;18;5;1;10;15;341;255;0;6.9;19107;385;0.2;78;19;20;18;17;1.57;0.38;0.36;0.4;0.177;31398;826;24999;5573;632;0.263;0.3;0.882;0;1;0;0;0;1806;29;1913;2;0;2948;2948;40808;0;44209;0;27;480;57059;0;21;41;300;400
ShowMaker;MID;DK;FOX;Clozer;23.08.2024;1;1;v14.16;Summer_Playoffs_24;3;4;5;3;Red;00:49:41;Renekton;Ivern;Rell;Ziggs;Zeri;Corki;Loss;17;7;3;2;18;5;2;7;6;465;28;0;9.4;21620;435;0.227;68;18;18;6;6;1.37;0.36;0.12;0.36;0.155;19998;11908;7493;597;403;0.168;0.24;0.706;0;1;0;0;0;-614;-9;-62;0;0;7928;7928;17595;0;21482;0;3;164;31849;28;9;31;550;600
Aiming;ADCARRY;DK;FOX;Hena;23.08.2024;1;1;v14.16;Summer_Playoffs_24;3;4;5;3;Red;00:49:41;Leona;Ezreal;Zeri;Alistar;Smolder;Ziggs;Loss;17;7;3;2;18;6;4;5;2.8;512;25;0;10.3;23599;475;0.248;51;15;16;2;2;1.03;0.3;0.04;0.32;0.116;30277;15368;5059;9850;609;0.254;0.22;0.647;0;2;0;0;0;-1960;5;-353;-1;0;8030;8030;11664;0;21339;0;8;598;25765;63;6;32;500;700
Moham;SUPPORT;DK;FOX;Duro;23.08.2024;1;1;v14.16;Summer_Playoffs_24;3;4;5;3;Red;00:49:41;Nautilus;Gangplank;Gnar;Camille;Rell;Alistar;Loss;17;7;3;2;16;0;6;13;2.2;35;0;0;0.7;11765;237;0.123;190;100;19;30;28;3.82;2.01;0.6;0.38;0.432;7485;1170;4275;2040;151;0.063;0.26;0.765;0;0;0;0;0;-547;10;-46;0;0;93;93;1889;0;41198;612;37;78;41809;134;34;53;0;0
kingen;TOP;DK;FOX;Clear;23.08.2024;1;1;v14.16;Summer_Playoffs_24;4;4;5;4;Blue;00:23:08;Renekton;LeBlanc;Rumble;Ornn;Rumble;Ornn;Win;19;11;2;1;15;8;2;3;5.5;188;0;0;8.1;10554;456;0.206;27;9;2;5;3;1.17;0.39;0.22;0.09;0.137;15644;383;15155;106;676;0.254;0.48;0.579;2;0;1;0;0;1670;21;1317;1;0;1356;1356;2124;0;8908;0;10;171;10245;79;8;23;0;400
Lucid;JUNGLE;DK;FOX;Raptor;23.08.2024;1;1;v14.16;Summer_Playoffs_24;4;4;5;4;Blue;00:23:08;Ziggs;Maokai;Lillia;Viego;Lillia;Viego;Win;19;11;2;1;15;5;0;8;Perfect_KDA;187;165;0;8.1;10870;470;0.212;31;9;3;6;6;1.34;0.39;0.26;0.13;0.157;15032;457;11229;3346;650;0.244;0.56;0.684;1;1;0;0;0;1020;35;2037;2;0;4003;4003;18550;0;13343;0;18;275;23818;0;7;20;0;0
ShowMaker;MID;DK;FOX;Clozer;23.08.2024;1;1;v14.16;Summer_Playoffs_24;4;4;5;4;Blue;00:23:08;Vi;Nasus;Miss_Fortune;Zeri;Yasuo;Akali;Win;19;11;2;1;14;3;0;6;Perfect_KDA;196;20;0;8.5;10226;442;0.199;29;5;5;4;3;1.25;0.22;0.17;0.22;0.147;8473;7494;979;0;366;0.138;0.39;0.474;0;0;0;0;0;1221;4;738;0;0;3710;3710;5327;0;13522;0;16;105;12760;0;5;17;0;0
Aiming;ADCARRY;DK;FOX;Hena;23.08.2024;1;1;v14.16;Summer_Playoffs_24;4;4;5;4;Blue;00:23:08;Azir;Corki;Rell;Alistar;Miss_Fortune;Zeri;Win;19;11;2;1;15;3;0;12;Perfect_KDA;248;8;0;10.7;12263;530;0.239;23;9;7;3;2;0.99;0.39;0.13;0.3;0.117;18108;17626;482;0;783;0.294;0.65;0.789;1;0;0;0;0;1296;23;560;0;0;12175;12175;2421;0;7410;0;3;46;4045;0;4;17;0;0
Moham;SUPPORT;DK;FOX;Duro;23.08.2024;1;1;v14.16;Summer_Playoffs_24;4;4;5;4;Blue;00:23:08;Rakan;Tristana;Yasuo;Akali;Rell;Alistar;Win;19;11;2;1;10;0;1;15;15;27;0;0;1.2;7438;322;0.145;87;33;15;11;11;3.76;1.43;0.48;0.65;0.442;4297;717;2954;626;186;0.07;0.65;0.789;0;0;0;0;0;517;2;161;0;0;5377;5377;1048;0;7703;0;27;50;6288;12;13;25;0;0
Clear;TOP;FOX;DK;kingen;23.08.2024;1;1;v14.16;Summer_Playoffs_24;4;4;5;4;Red;00:23:08;LeBlanc;Renekton;Ornn;Rumble;Ornn;Rumble;Loss;3;0;1;0;13;0;3;1;0.3;173;0;0;7.5;6891;298;0.197;14;7;2;1;0;0.61;0.3;0.04;0.09;0.101;3861;875;2986;0;167;0.142;0.04;0.333;0;0;0;0;0;-1670;-21;-1317;-1;0;1531;1531;150;0;16807;0;10;322;16814;64;2;16;0;0
Raptor;JUNGLE;FOX;DK;Lucid;23.08.2024;1;1;v14.16;Summer_Playoffs_24;4;4;5;4;Red;00:23:08;Maokai;Ziggs;Viego;Lillia;Viego;Lillia;Loss;3;0;1;0;12;0;5;2;0.4;132;122;0;5.7;6729;291;0.192;26;7;7;6;5;1.12;0.3;0.26;0.3;0.187;4170;3714;124;332;180;0.153;0.09;0.667;0;0;0;0;0;-1020;-35;-2037;-2;0;0;0;11339;0;10960;0;7;174;23251;125;7;22;0;0
Clozer;MID;FOX;DK;ShowMaker;23.08.2024;1;1;v14.16;Summer_Playoffs_24;4;4;5;4;Red;00:23:08;Nasus;Vi;Zeri;Miss_Fortune;Akali;Yasuo;Loss;3;0;1;0;12;0;4;0;0;181;0;0;7.8;6850;296;0.196;14;7;1;3;3;0.61;0.3;0.13;0.04;0.101;6733;1033;5700;0;291;0.247;0;0;0;0;0;0;0;-1221;-4;-738;0;0;0;0;1214;0;8554;0;0;46;18679;99;4;16;0;0
Hena;ADCARRY;FOX;DK;Aiming;23.08.2024;1;1;v14.16;Summer_Playoffs_24;4;4;5;4;Red;00:23:08;Corki;Azir;Alistar;Rell;Zeri;Miss_Fortune;Loss;3;0;1;0;14;3;4;0;0.8;238;8;0;10.3;9820;424;0.281;28;11;8;3;3;1.21;0.48;0.13;0.35;0.201;10174;6732;3312;130;440;0.373;0.13;1;0;0;0;0;0;-1296;-23;-560;0;0;87;87;1658;0;4964;0;4;161;11315;86;6;24;400;0
Duro;SUPPORT;FOX;DK;Moham;23.08.2024;1;1;v14.16;Summer_Playoffs_24;4;4;5;4;Red;00:23:08;Tristana;Rakan;Akali;Yasuo;Alistar;Rell;Loss;3;0;1;0;9;0;3;1;0.3;15;0;0;0.6;4694;203;0.134;57;32;3;11;10;2.46;1.38;0.48;0.13;0.41;2317;363;1637;317;100;0.085;0.04;0.333;0;0;0;0;0;-517;-2;-161;0;0;0;0;2459;1155;11420;0;20;34;12029;28;13;24;0;0
Zeus;TOP;T1;KT;PerfecT;24.08.2024;1;2;v14.16;Summer_Playoffs_24;1;4;5;1;Blue;00:35:57;Maokai;Rumble;Azir;Renekton;Olaf;Renekton;Win;13;9;3;0;18;7;1;2;9;318;20;0;8.8;16366;455;0.242;48;10;15;5;5;1.34;0.28;0.14;0.42;0.15;21441;13709;67;7665;596;0.268;0.25;0.692;0;0;0;0;1;761;19;422;0;0;6998;6998;10875;0;52811;0;17;559;22597;57;8;31;300;700
Oner;JUNGLE;T1;KT;Pyosik;24.08.2024;1;2;v14.16;Summer_Playoffs_24;1;4;5;1;Blue;00:35:57;Ivern;Ashe;Lillia;Sejuani;Lillia;Sejuani;Win;13;9;3;0;17;1;3;5;2;285;247;0;7.9;12894;359;0.191;65;11;23;9;9;1.81;0.31;0.25;0.64;0.204;11643;262;9756;1625;324;0.145;0.17;0.462;0;0;0;0;0;1042;20;1032;1;1;676;676;25830;0;31492;0;11;603;42724;99;10;26;0;50
Faker;MID;T1;KT;Bdd;24.08.2024;1;2;v14.16;Summer_Playoffs_24;1;4;5;1;Blue;00:35:57;Vi;Nasus;Senna;Smolder;Azir;Smolder;Win;13;9;3;0;17;1;3;5;2;325;16;0;9;13749;382;0.204;57;20;7;7;7;1.59;0.56;0.19;0.19;0.179;21252;310;20721;221;591;0.265;0.17;0.462;0;0;0;0;0;147;-10;-305;0;0;6300;6300;2546;0;19893;0;9;203;20746;116;9;24;0;50
Gumayusi;ADCARRY;T1;KT;Deft;24.08.2024;1;2;v14.16;Summer_Playoffs_24;1;4;5;1;Blue;00:35:57;Taliyah;Kennen;Olaf;Seraphine;Nilah;Miss_Fortune;Win;13;9;3;0;17;4;2;4;4;331;14;0;9.2;14650;408;0.217;40;15;12;6;6;1.11;0.42;0.17;0.33;0.125;12889;12518;47;324;359;0.161;0.22;0.615;0;0;1;0;0;-53;-3;402;0;0;6323;6323;6699;1142;29944;305;11;90;17367;97;7;24;100;200
